Country,Continent
Alaska,North America
Alberta,North America
Central America,North America
Eastern United States,North America
Greenland,North America
Northwest Territory,North America
Ontario,North America
Quebec,North America
Western United States,North America
Argentina,South America
Brazil,South America
Peru,South America
Venezuela,South America
United Kingdom,Europe
Iceland,Europe
Northern Europe,Europe
Scandinavia,Europe
Southern Europe,Europe
Ukraine,Europe
Western Europe,Europe
Congo,Africa
East Africa,Africa
Egypt,Africa
Madagascar,Africa
North Africa,Africa
South Africa,Africa
Afghanistan,Asia
China,Asia
India,Asia
Irkutsk,Asia
Japan,Asia
Kamchatka,Asia
Middle East,Asia
Mongolia,Asia
Siam,Asia
Siberia,Asia
Ural,Asia
Yakutsk,Asia
Eastern Australia,Oceania
Indonesia,Oceania
New Guinea,Oceania
Western Australia,Oceania
